year,fund,recipient,location,artform,amount_awarded
2026,Arts Grant Funding,Garageland,South Dublin County Council,Music,11450
2026,Arts Grant Funding,Gare St Lazare Players Ireland,Cork County Council,Theatre,146000
2026,Arts Grant Funding,Glass Mask Theatre,Dublin City Council,Theatre,175000
2026,Arts Grant Funding,Goma Gallery Of Modern Art Waterford,Waterford City and County Council,Visual Arts,78000
2026,Arts Grant Funding,Gorm Media,South Dublin County Council,Children and Young People's Arts,55000
2026,Arts Grant Funding,Graffiti Theatre Company Ltd,Cork City Council,Children and Young People's Arts,220000
2026,Arts Grant Funding,Great Music in Irish Houses,Dublin City Council,Music,45500
2026,Arts Grant Funding,Greywood Arts,Cork County Council,Participatory Arts,30000
2026,Arts Grant Funding,HATCH Theatre Company,Dublin City Council,Theatre,164000
2026,Arts Grant Funding,Historical Harp Society of Ireland,Kilkenny County Council,Traditional Arts,70000
2026,Arts Grant Funding,Holy Show,South Dublin County Council,Literature (English language),22000
2026,Arts Grant Funding,Inishowen Carnival Group,Donegal County Council,Street Arts,50000
2026,Arts Grant Funding,Inishowen Traditional Singers’ Circle,Donegal County Council,Traditional Arts,35500
2026,Arts Grant Funding,Interface,Galway County Council,Visual Arts,70000
2026,Arts Grant Funding,International Literature Festival Dublin,Dublin City Council,Literature (English language),140000
2026,Arts Grant Funding,Ionad Cultúrtha,Cork County Council,Traditional Arts,50000
2026,Arts Grant Funding,Irish Arts Review,Dublin City Council,Visual Arts,75000
2026,Arts Grant Funding,Irish Composers’ Collective,Dublin City Council,Music,15000
2026,Arts Grant Funding,Irish Composition Summer School,Donegal County Council,Music,9200
2026,Arts Grant Funding,Irish Pages,Antrim,Literature (English language),30000
2026,Arts Grant Funding,Irish Society Of Stage And Screen Designers,Dublin City Council,Theatre,49000
2026,Arts Grant Funding,Irish Women In Jazz,Dublin City Council,Music,7250
2026,Arts Grant Funding,Jazz Ireland,Dublin City Council,Music,30000
2026,Arts Grant Funding,Junk Ensemble,Dublin City Council,Dance,145000
2026,Arts Grant Funding,Kaleidoscope Night,Dun Laoghaire Rathdown County Council,Music,34000
2026,Arts Grant Funding,"Kavanagh, Noeline",Galway County Council,Theatre,160000
2026,Arts Grant Funding,Kirkos,Dun Laoghaire Rathdown County Council,Music,64500
2026,Arts Grant Funding,Landmark Productions,Dublin City Council,Theatre,315000
2026,Arts Grant Funding,Lavit Gallery,Cork City Council,Visual Arts,20000
2026,Arts Grant Funding,Leabhar Breac,Galway County Council,Literature (Irish language),34000
2026,Arts Grant Funding,Light Moves Festival Of Screendance,Limerick City and County Council,Dance,30000
2026,Arts Grant Funding,Lilliput Press,Dublin City Council,Literature (English language),125000
2026,Arts Grant Funding,Limerick Jazz Society,Limerick City and County Council,Music,25000
2026,Arts Grant Funding,Lismore Castle Arts,Waterford City and County Council,Visual Arts,40000
2026,Arts Grant Funding,Lismore Music Festival,Waterford City and County Council,Opera,150000
2026,Arts Grant Funding,Little Island,Dublin City Council,Literature (English language),125000
2026,Arts Grant Funding,Live Art Ireland,Tipperary County Council,Visual Arts,20000
2026,Arts Grant Funding,Live Collision Festival,Dublin City Council,Festivals and Events,30000
2026,Arts Grant Funding,Livia Records,Dublin City Council,Music,22000
2026,Arts Grant Funding,Louth Contemporary Music Ltd,Louth County Council,Music,96000
2026,Arts Grant Funding,Luminosa Music,Galway County Council,Music,55791
2026,Arts Grant Funding,Macha Press Limited,Antrim,Literature (English language),10000
2026,Arts Grant Funding,MART,Dublin City Council,Visual Arts,57000
2026,Arts Grant Funding,"Moran, Nicola",Louth County Council,Circus,17100
2026,Arts Grant Funding,Mother Tongues,South Dublin County Council,Children and Young People's Arts,64300
2026,Arts Grant Funding,Motion Chapel,Roscommon County Council,Circus,70000
2026,Arts Grant Funding,Museum Of Literature Ireland,Dublin City Council,Literature (English language),53000
2026,Arts Grant Funding,Music for Galway,Galway City Council,Music,100000
2026,Arts Grant Funding,Music for Wexford,Wexford County Council,Music,26500
2026,Arts Grant Funding,Music in Kilkenny,Kilkenny County Council,Music,32000
2026,Arts Grant Funding,Musici Ireland,Wexford County Council,Music,46000
2026,Arts Grant Funding,National String Quartet Foundation,Cork County Council,Music,74000
2026,Arts Grant Funding,New Island Books DAC,Dun Laoghaire Rathdown County Council,Literature (English language),120000
2026,Arts Grant Funding,"Newell, Anna",Wicklow County Council,Children and Young People's Arts,220000
2026,Arts Grant Funding,Now And Then Media Ltd.,Tipperary County Council,Music,13000
2026,Arts Grant Funding,Opera Collective Ireland,Louth County Council,Opera,150000
2026,Arts Grant Funding,"Ormonde, Aisling",Dun Laoghaire Rathdown County Council,Theatre,62000
2026,Arts Grant Funding,Ormston House,Limerick City and County Council,Visual Arts,200000
2026,Arts Grant Funding,Outlandish Theatre Platform,Dublin City Council,Participatory Arts,94500
2026,Arts Grant Funding,Outset Gallery,Galway City Council,Visual Arts,20000
2026,Arts Grant Funding,Pallas Projects/Studios,Dublin City Council,Visual Arts,204400
2026,Arts Grant Funding,Paper Visual Art Journal,Dublin City Council,Visual Arts,75000
2026,Arts Grant Funding,PhotoIreland Festival,Dublin City Council,Visual Arts,200000
2026,Arts Grant Funding,Pipeworks Festival,Dublin City Council,Music,52000
2026,Arts Grant Funding,Publishing Ireland,Dun Laoghaire Rathdown County Council,Literature (English language),15000
2026,Arts Grant Funding,Raidió Rí-rá,Dublin City Council,Music,8500
2026,Arts Grant Funding,Resurgam,Galway County Council,Music,70000
2026,Arts Grant Funding,"Rogers, Eoin",Dublin City Council,Literature (English language),20000
2026,Arts Grant Funding,Run Of The Mill Arts Clg,Kildare County Council,Participatory Arts,145000
2026,Arts Grant Funding,Salmon Poetry,Clare County Council,Literature (English language),115000
2026,Arts Grant Funding,Sample Studios,Cork City Council,Visual Arts,80000
2026,Arts Grant Funding,Sans. Press,Limerick City and County Council,Literature (English language),20000
2026,Arts Grant Funding,"Seifer, Dor",Limerick City and County Council,Literature (English language),4675
2026,Arts Grant Funding,Skein Press,Dublin City Council,Literature (English language),121000
2026,Arts Grant Funding,Skylight 47,Galway County Council,Literature (English language),10000
2026,Arts Grant Funding,Sligo Jazz Project,Sligo County Council,Music,64000
2026,Arts Grant Funding,South Tipperary Arts Centre,Tipperary County Council,Arts Centres,79800
2026,Arts Grant Funding,St John’s Arts Centre,Kerry County Council,Arts Centres,71500
2026,Arts Grant Funding,St. Barrahane’s Chuch Festival Of Music,Cork County Council,Music,7500
2026,Arts Grant Funding,St. Patrick’s Festival,Dublin City Council,Traditional Arts,62500
2026,Arts Grant Funding,Stiúideo Cuan,Galway County Council,Traditional Arts,67500
2026,Arts Grant Funding,"Strain, Kate",Wicklow County Council,Visual Arts,80000
2026,Arts Grant Funding,Sugarglass,Dublin City Council,Theatre,63000
2026,Arts Grant Funding,Sundays at Noon / Gallery Music,Dublin City Council,Music,25000
2026,Arts Grant Funding,Super Paua,Sligo County Council,Children and Young People's Arts,45000
2026,Arts Grant Funding,Superprojects,Dun Laoghaire Rathdown County Council,Children and Young People's Arts,116500
2026,Arts Grant Funding,"Szczerek, Mateusz",Fingal County Council,Dance,80000
2026,Arts Grant Funding,Taking Flight: Education & Performance Ltd.,Dublin City Council,Circus,50000
2026,Arts Grant Funding,Tallaght Community Arts,South Dublin County Council,Participatory Arts,110000
2026,Arts Grant Funding,The Ballinglen Arts Foundation,Mayo County Council,Visual Arts,71190
2026,Arts Grant Funding,The Dublin Jazz Co-op,Dublin City Council,Music,20000
2026,Arts Grant Funding,The Dublin Review,Dublin City Council,Literature (English language),92000
2026,Arts Grant Funding,The Gallery Press,Meath County Council,Literature (English language),190000
2026,Arts Grant Funding,The Galway Music Residency,Galway City Council,Music,76000
2026,Arts Grant Funding,The Glens Centre,Leitrim County Council,Arts Centres,55000
2026,Arts Grant Funding,The Journal of Music,Galway County Council,Music,75500
2026,Arts Grant Funding,The Limerick Theatre And Performance Hub,Limerick City and County Council,Participatory Arts,70000
2026,Arts Grant Funding,The Mill Theatre,Dun Laoghaire Rathdown County Council,Arts Centres,55000
2026,Arts Grant Funding,The O’Brien Press,Dublin City Council,Literature (English language),90000
2026,Arts Grant Funding,The Performance Corporation,Mayo County Council,Theatre,135000
2026,Arts Grant Funding,The Seamus Ennis Cultural Centre,Fingal County Council,Traditional Arts,92500
2026,Arts Grant Funding,Theatre Lovett,Waterford City and County Council,Children and Young People's Arts,205000
2026,Arts Grant Funding,THISISPOPBABY,Dublin City Council,Theatre,200000
2026,Arts Grant Funding,Tipperary Dance,Tipperary County Council,Dance,134000
2026,Arts Grant Funding,Tolka Journal,Waterford City and County Council,Literature (English language),60000
2026,Arts Grant Funding,Traders in the Area Supporting the Cultural Quarter Ltd,Dublin City Council,Festivals and Events,120000
2026,Arts Grant Funding,Tramp Press,Dublin City Council,Literature (English language),115000
2026,Arts Grant Funding,Trickster,Kilkenny County Council,Children and Young People's Arts,120000
2026,Arts Grant Funding,Tulca,Galway City Council,Visual Arts,130000
2026,Arts Grant Funding,Twisted Lane Productions,Galway County Council,Circus,60000
2026,Arts Grant Funding,Type,Dublin City Council,Architecture,38850
2026,Arts Grant Funding,Upstate Theatre Project,Louth County Council,Participatory Arts,85000
2026,Arts Grant Funding,Waterford Music,Waterford City and County Council,Music,14500
2026,Arts Grant Funding,Waterford Youth Arts,Waterford City and County Council,Children and Young People's Arts,130000
2026,Arts Grant Funding,West Wicklow Festival,Wicklow County Council,Music,45500
2026,Arts Grant Funding,Westport Jazz,Mayo County Council,Music,10250
2026,Arts Grant Funding,WhistleBlast Quartet,Mayo County Council,Children and Young People's Arts,60000
2026,Arts Grant Funding,Wordwell Ltd,Dun Laoghaire Rathdown County Council,Literature (English language),55000
2026,Arts Grant Funding,Writers’ Week,Kerry County Council,Literature (English language),50000
2026,Arts Grant Funding,Xnthony Ltd.,Roscommon County Council,Theatre,131000
2026,Arts Grant Funding,"Young, Catherine",Kerry County Council,Dance,112500
2026,Arts Grant Funding,Ériu,Dublin City Council,Traditional Arts,70000
2026,Arts Grant Funding,Ó Bhéal Go Béal,Cork City Council,Literature (English language),13000
2026,Festivals Investment Scheme,Aliceway Ltd T/a Bandit Films,Leitrim County Council,Film,11500
2026,Festivals Investment Scheme,Alliance Francaise,Dublin City Council,Literature,6520
2026,Festivals Investment Scheme,An Goilin Traditional Singers Club,South Dublin County Council,Traditional Arts,7189
2026,Festivals Investment Scheme,Ballina Fringe Festival,Mayo County Council,Multidisciplinary Arts,9300
2026,Festivals Investment Scheme,Ballintogher Enterprise Centre,Leitrim County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Ballydehob Jazz Festival,Cork County Council,Multidisciplinary Arts,33000
2026,Festivals Investment Scheme,Ballygawley Community Park C/r Ballygawley Music Festival,Sligo County Council,Music,12000
2026,Festivals Investment Scheme,Ballyhoura Comhaltas Ceoltoiri Eireann,Limerick City and County Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Bannow Folk and Traditional Festival,Wexford County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Barnstorm Theatre Company Ltd,Kilkenny County Council,Children and Young People's Arts,10000
2026,Festivals Investment Scheme,Bere Island Arts Festival,Cork County Council,Multidisciplinary Arts,10200
2026,Festivals Investment Scheme,BETA Festival,Dublin City Council,Multidisciplinary Arts,5500
2026,Festivals Investment Scheme,Birr Festival Of Music & Voice,Offaly County Council,Music,22000
2026,Festivals Investment Scheme,Birr Vintage Week and Arts Festival,Offaly County Council,Multidisciplinary Arts,29000
2026,Festivals Investment Scheme,Blood in the Alley Productions,Waterford City and County Council,Theatre,40000
2026,Festivals Investment Scheme,Borris Festival of Writing and Ideas,Carlow County Council,Literature,24000
2026,Festivals Investment Scheme,Boyle Arts Festival,Roscommon County Council,Multidisciplinary Arts,31500
2026,Festivals Investment Scheme,Boyne Music Festival,Meath County Council,Music,16700
2026,Festivals Investment Scheme,Boyne Tradfest,Louth County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Brendan And Martin Mulvihill Traditional Music Week In Glin,Limerick City and County Council,Traditional Arts,3000
2026,Festivals Investment Scheme,Bród Na Gaeltachta,Donegal County Council,Multidisciplinary Arts,6100
2026,Festivals Investment Scheme,Bualadh Bos Children’s Festival,Limerick City and County Council,Children and Young People's Arts,34000
2026,Festivals Investment Scheme,Cairde na Cruite,Louth County Council,Traditional Arts,15000
2026,Festivals Investment Scheme,Cape Clear International Storytelling Festival,Cork County Council,Traditional Arts,9100
2026,Festivals Investment Scheme,Carrickmacross Comhaltas,Monaghan County Council,Traditional Arts,9450
2026,Festivals Investment Scheme,Cashel Arts Festival,Tipperary County Council,Multidisciplinary Arts,20500
2026,Festivals Investment Scheme,Cavan Arts Festival,Cavan County Council,Multidisciplinary Arts,40000
2026,Festivals Investment Scheme,Chamber Music on Valentia,Kerry County Council,Music,24987
2026,Festivals Investment Scheme,Circus250 Productions,Mayo County Council,Circus,18000
2026,Festivals Investment Scheme,Clare Island Folk Festival,Mayo County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Classics Now,Dublin City Council,Literature,17480
2026,Festivals Investment Scheme,Clones Film Festival,Monaghan County Council,Film,18500
2026,Festivals Investment Scheme,Clonmel Applefest,Tipperary County Council,Multidisciplinary Arts,20500
2026,Festivals Investment Scheme,Cluainin Carnival Arts Group,Sligo County Council,Circus,14000
2026,Festivals Investment Scheme,Cobh Carillon Committee,Cork County Council,Music,5500
2026,Festivals Investment Scheme,Coinbhinsiúin Lámhchleasaíochta Inis Óirr,Galway County Council,Circus,9000
2026,Festivals Investment Scheme,Coirm,Donegal County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Coiste Cruinniu na BhFliuit,Cork County Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Common Knowledge,Clare County Council,Multidisciplinary Arts,5000
2026,Festivals Investment Scheme,Consairtín,Clare County Council,Traditional Arts,15000
2026,Festivals Investment Scheme,Cooley Collins Festival Committee,Galway County Council,Traditional Arts,3000
2026,Festivals Investment Scheme,Cork Folk Festival,Cork City Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Cork World Book Festival,Cork City Council,Literature,25000
2026,Festivals Investment Scheme,Cork Zine Fest,Cork County Council,Visual Arts,13000
2026,Festivals Investment Scheme,Corofin Traditional Festival,Clare County Council,Traditional Arts,7000
2026,Festivals Investment Scheme,Creative Tradition,Cork City Council,Traditional Arts,4000
2026,Festivals Investment Scheme,Cumann Ceoil Chonmhaicne,Sligo County Council,Traditional Arts,3711
2026,Festivals Investment Scheme,Dingle Lit Clg,Kerry County Council,Literature,25000
2026,Festivals Investment Scheme,Disappear Here Media,Donegal County Council,Film,4000
2026,Festivals Investment Scheme,Disrupt Disability Arts Festival,Dublin City Council,Multidisciplinary Arts,25000
2026,Festivals Investment Scheme,Doulab For Circus And Dance,Wexford County Council,Children and Young People's Arts,8000
2026,Festivals Investment Scheme,Drogheda Traditional Music Weekend,Louth County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Dromineer Literary Festival,Tipperary County Council,Literature,16000
2026,Festivals Investment Scheme,Duck Upon Rock Productions,Sligo County Council,Multidisciplinary Arts,5250
2026,Festivals Investment Scheme,East Asia Film Festival Ireland,Dublin City Council,Film,20000
2026,Festivals Investment Scheme,East Cork Early Music Festival,Cork County Council,Music,22958
2026,Festivals Investment Scheme,Ennis Book Club Festival,Clare County Council,Literature,45000
2026,Festivals Investment Scheme,Esker Arts,Offaly County Council,Children and Young People's Arts,7200
2026,Festivals Investment Scheme,Fastnet Short Film Festival,Cork County Council,Film,20000
2026,Festivals Investment Scheme,Feile Chois Cuain,Mayo County Council,Traditional Arts,18000
2026,Festivals Investment Scheme,Feile na Bealtaine,Kerry County Council,Multidisciplinary Arts,45000
2026,Festivals Investment Scheme,First Cut! Youth Film Project,Cork County Council,Children and Young People's Arts,45000
2026,Festivals Investment Scheme,Five Lamps Arts Festival,Dublin City Council,Multidisciplinary Arts,11000
2026,Festivals Investment Scheme,Fuddlefest,Wexford County Council,Music,7500
2026,Festivals Investment Scheme,Féile Bheag Filíochta,Kerry County Council,Literature (Irish language),7520
2026,Festivals Investment Scheme,Féile Na Gréine (Limerick),Limerick City and County Council,Music,8000
2026,Festivals Investment Scheme,Féile Na Tána,Louth County Council,Traditional Arts,20000
2026,Festivals Investment Scheme,Féile Nasc,Dun Laoghaire Rathdown County Council,Traditional Arts,16000
2026,Festivals Investment Scheme,Féile Róise Rua,Donegal County Council,Traditional Arts,20050
2026,Festivals Investment Scheme,Galway Traveller Movement,Galway City Council,Participatory Arts,45000
2026,Festivals Investment Scheme,Gaze Lgbt Film Festival,Dublin City Council,Film,32500
2026,Festivals Investment Scheme,Glasdrum,Dublin City Council,Music,13260
2026,Festivals Investment Scheme,Glór Na Ngael,South Dublin County Council,Literature (Irish language),4000
2026,Festivals Investment Scheme,Granard Booktown Festival Clg,Galway City Council,Literature,15000
2026,Festivals Investment Scheme,Grey Heron Media,Limerick City and County Council,Multidisciplinary Arts,25000
2026,Festivals Investment Scheme,Greywood Arts,Cork County Council,Multidisciplinary Arts,11000
2026,Festivals Investment Scheme,Halfway Up The Stairs,Wicklow County Council,Children and Young People's Arts,4000
2026,Festivals Investment Scheme,Hip-hop On Stage,Dublin City Council,Dance,20000
2026,Festivals Investment Scheme,Iberscreen – Ficii,Galway County Council,Film,5000
2026,Festivals Investment Scheme,Iniscealtra Arts Festival,Clare County Council,Multidisciplinary Arts,13900
2026,Festivals Investment Scheme,Inishbofin Community Services Programme,Galway County Council,Multidisciplinary Arts,8000
2026,Festivals Investment Scheme,Inishbofin Set Dancing,Galway County Council,Traditional Arts,3000
2026,Festivals Investment Scheme,Inishowen Traditional Music Project,Donegal County Council,Traditional Arts,20000
2026,Festivals Investment Scheme,Inishowen Traditional Singers’ Circle,Donegal County Council,Traditional Arts,16000
2026,Festivals Investment Scheme,Inniskeen Enterprise Development Group,Monaghan County Council,Multidisciplinary Arts,14300
2026,Festivals Investment Scheme,Iron Mountain Festival,Leitrim County Council,Literature,10000
2026,Festivals Investment Scheme,Islander,Cork City Council,Traditional Arts,8000
2026,Festivals Investment Scheme,Jazz At Johnstown,Wexford County Council,Music,3500
2026,Festivals Investment Scheme,Jazz In County Kildare,Kildare County Council,Music,7500
2026,Festivals Investment Scheme,John McKenna Traditional Society,Leitrim County Council,Traditional Arts,4000
2026,Festivals Investment Scheme,Keep Her Lit,Kilkenny County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Kerry Film Festival,Kerry County Council,Film,10000
2026,Festivals Investment Scheme,Kerry Literary & Cultural Centre,Kerry County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Kildare County Library,Kildare County Council,Literature,5000
2026,Festivals Investment Scheme,Killaloe Chamber Music Festival,Clare County Council,Music,23000
2026,Festivals Investment Scheme,Kilrush Comhaltas Ceoltoiri Eireann,Clare County Council,Traditional Arts,6500
2026,Festivals Investment Scheme,Kinsale Arts Weekend,Cork County Council,Multidisciplinary Arts,8000
2026,Festivals Investment Scheme,Kinsale Literary Festival,Cork County Council,Literature,8000
2026,Festivals Investment Scheme,Laois Youth Dance Ensemble,Laois County Council,Dance,20000
2026,Festivals Investment Scheme,Liberties Community Project,Dublin City Council,Multidisciplinary Arts,4000
2026,Festivals Investment Scheme,Limerick Literary Festival In Honour Of Kate O’Brien,Limerick City and County Council,Literature,15000
2026,Festivals Investment Scheme,Lismore Castle Arts,Waterford City and County Council,Children and Young People's Arts,43000
2026,Festivals Investment Scheme,Live Collision Festival,Dublin City Council,Multidisciplinary Arts,32500
2026,Festivals Investment Scheme,Lumen Street Theatre,Limerick City and County Council,Multidisciplinary Arts,25000
2026,Festivals Investment Scheme,Make A Move,Limerick City and County Council,Children and Young People's Arts,7000
2026,Festivals Investment Scheme,Mide Arts Group,Longford County Council,Multidisciplinary Arts,14700
2026,Festivals Investment Scheme,Moth And Butterfly,Galway City Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Mother Tongues,South Dublin County Council,Participatory Arts,44000
2026,Festivals Investment Scheme,Motion Chapel,Roscommon County Council,Circus,10000
2026,Festivals Investment Scheme,Murder One Events Ltd,Wicklow County Council,Literature,20000
2026,Festivals Investment Scheme,Music Generation Laois,Laois County Council,Music,4500
2026,Festivals Investment Scheme,Music In Monkstown,Dun Laoghaire Rathdown County Council,Music,16960
2026,Festivals Investment Scheme,New Ross Guitar Academy,Wexford County Council,Music,6620
2026,Festivals Investment Scheme,New Ross Piano Festival – Music For New Ross,Wexford County Council,Music,25000
2026,Festivals Investment Scheme,Now And Then Media Ltd.,Limerick City and County Council,Music,24000
2026,Festivals Investment Scheme,Nyah Festival,Cavan County Council,Traditional Arts,16000
2026,Festivals Investment Scheme,OFFline Film,Offaly County Council,Film,10000
2026,Festivals Investment Scheme,Oidhreacht an Chlair,Clare County Council,Traditional Arts,15000
2026,Festivals Investment Scheme,Open Ear,Cork City Council,Music,25000
2026,Festivals Investment Scheme,Ortus Festival,Cork City Council,Music,24000
2026,Festivals Investment Scheme,Out Of Frame Cork,Cork City Council,Film,4000
2026,Festivals Investment Scheme,Patrick O’Keefe Traditional Music Festival,Kerry County Council,Traditional Arts,16000
2026,Festivals Investment Scheme,PAUL Partnership,Limerick City and County Council,Participatory Arts,8000
2026,Festivals Investment Scheme,Pitch’d Productions Ltd,Cork City Council,Circus,10000
2026,Festivals Investment Scheme,Polish Arts Festival,Limerick City and County Council,Multidisciplinary Arts,11500
2026,Festivals Investment Scheme,Portumna Arts Group,Galway County Council,Multidisciplinary Arts,18000
2026,Festivals Investment Scheme,Resurgam,Galway County Council,Music,7500
2026,Festivals Investment Scheme,Scoil Acla,Mayo County Council,Traditional Arts,13000
2026,Festivals Investment Scheme,Scoil Cheoil an Earraigh,Kerry County Council,Traditional Arts,25000
2026,Festivals Investment Scheme,Scripts Ireland’s Playwriting Festival,Offaly County Council,Theatre,20000
2026,Festivals Investment Scheme,Seamus Grant Festival,Donegal County Council,Traditional Arts,4000
2026,Festivals Investment Scheme,Sean-Nos Cois Life,Dublin City Council,Traditional Arts,9500
2026,Festivals Investment Scheme,Seán Corcoran Series,Louth County Council,Traditional Arts,8000
2026,Festivals Investment Scheme,Skerries Traditional Music Weekend,Fingal County Council,Traditional Arts,5000
2026,Festivals Investment Scheme,Skibbereen Arts Festival,Cork County Council,Multidisciplinary Arts,41000
2026,Festivals Investment Scheme,Sligo Festival of Baroque Music,Sligo County Council,Music,23731
2026,Festivals Investment Scheme,Sligo Musicfest Ltd.,Sligo County Council,Music,9442
2026,Festivals Investment Scheme,Something In The Water/headford And District Association,Galway County Council,Multidisciplinary Arts,6000
2026,Festivals Investment Scheme,South Sligo Summer School,Sligo County Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Spleodar – Nenagh Community Arts Festival,Tipperary County Council,Children and Young People's Arts,21200
2026,Festivals Investment Scheme,Springmoves Dance Festival,Wexford County Council,Dance,23000
2026,Festivals Investment Scheme,Strokestown International Poetry Festival,Roscommon County Council,Literature,25000
2026,Festivals Investment Scheme,Summersing!,Cork City Council,Children and Young People's Arts,9600
2026,Festivals Investment Scheme,The Ballincollig Winter Music Festival Committee,Cork County Council,Multidisciplinary Arts,11000
2026,Festivals Investment Scheme,The Eugene O’Neill International Festival Of Theatre,Wexford County Council,Theatre,4000
2026,Festivals Investment Scheme,The Spike Island Literary Festival,Cork County Council,Literature,3000
2026,Festivals Investment Scheme,The Walls Project,Waterford City and County Council,Multidisciplinary Arts,25000
2026,Festivals Investment Scheme,Thurles Circling The Square,Tipperary County Council,Literature,5000
2026,Festivals Investment Scheme,Tionól Niocláis Tóibín,Waterford City and County Council,Traditional Arts,10000
2026,Festivals Investment Scheme,Tipperary Dance,Tipperary County Council,Dance,40000
2026,Festivals Investment Scheme,Trad For All,Clare County Council,Traditional Arts,6000
2026,Festivals Investment Scheme,Trasna Productions,Kilkenny County Council,Multidisciplinary Arts,8900
2026,Festivals Investment Scheme,Tread Softly Co. Ltd,Sligo County Council,Multidisciplinary Arts,26000
2026,Festivals Investment Scheme,Tullamore Tradfest,Offaly County Council,Traditional Arts,4000
2026,Festivals Investment Scheme,UMA,Dublin City Council,Dance,13000
2026,Festivals Investment Scheme,University Concert Hall Limerick,Limerick City and County Council,Music,15000
2026,Festivals Investment Scheme,Waterford Arts Festival Limited,Waterford City and County Council,Multidisciplinary Arts,36000
2026,Festivals Investment Scheme,Waterford Chamber Music Festival,Dublin City Council,Music,3000
2026,Festivals Investment Scheme,Waterford International Organ Festival,Dublin City Council,Music,6000
2026,Festivals Investment Scheme,Westival Westport Music & Arts Festival,Mayo County Council,Multidisciplinary Arts,33000
2026,Festivals Investment Scheme,Westport Festival of Chamber Music,Mayo County Council,Music,26520
2026,Festivals Investment Scheme,Westport Folk And Bluegrass Festival,Mayo County Council,Music,7500
2026,Festivals Investment Scheme,Wex-art,Wexford County Council,Visual Arts,20000
2026,Festivals Investment Scheme,Wicklow Screendance Laboratory,Wicklow County Council,Dance,15000
2026,Festivals Investment Scheme,Write By The Sea,Wexford County Council,Literature,14000
2026,Festivals Investment Scheme,Éigse Dhiarmuid Ui Shúilleabháin,Cork County Council,Traditional Arts,5500
2026,Strategic Funding,Age and Opportunity,Dublin City Council,Participatory Arts,291430
2026,Strategic Funding,Arts & Disability Ireland,Dublin City Council,Participatory Arts,362430
2026,Strategic Funding,Baboró International Arts Festival for Children,Galway City Council,Children and Young People's Arts,433996
2026,Strategic Funding,Ballet Ireland,Meath County Council,Dance,532000
2026,Strategic Funding,Bewley’s Cafe Theatre,Dublin City Council,Theatre,82000
2026,Strategic Funding,Black Church Print Studio,Dublin City Council,Visual Arts,107820
2026,Strategic Funding,Blue Raincoat Theatre Company,Sligo County Council,Theatre,340000
2026,Strategic Funding,Butler Gallery,Kilkenny County Council,Visual Arts,535300
2026,Strategic Funding,Cairde Festival Ltd,Sligo County Council,Festivals and Events,224000
2026,Strategic Funding,Cairdeas na bhFidiléirí,Donegal County Council,Traditional Arts,57000
2026,Strategic Funding,Carlow Arts Festival,Carlow County Council,Festivals and Events,235000
2026,Strategic Funding,Chamber Choir Ireland,Dublin City Council,Music,690000
2026,Strategic Funding,Children’s Books Ireland,Dublin City Council,Children and Young People's Arts,407000
2026,Strategic Funding,Cló Iar-Chonnachta Teo,Galway County Council,Literature (Irish language),98000
2026,Strategic Funding,CoisCeim Dance Theatre,Dublin City Council,Dance,337000
2026,Strategic Funding,Cork International Film Festival,Cork City Council,Film,285000
2026,Strategic Funding,Cork Midsummer Festival,Cork City Council,Festivals and Events,497000
2026,Strategic Funding,Cork Printmakers,Cork City Council,Visual Arts,93990
2026,Strategic Funding,Crash Ensemble,Dublin City Council,Music,330000
2026,Strategic Funding,Create,Dublin City Council,Participatory Arts,410000
2026,Strategic Funding,Dance Ireland,Dublin City Council,Dance,418000
2026,Strategic Funding,Dance Limerick,Limerick City and County Council,Dance,294000
2026,Strategic Funding,Druid Theatre Company,Galway City Council,Theatre,1160000
2026,Strategic Funding,Dublin Dance Festival,Dublin City Council,Dance,580000
2026,Strategic Funding,Dublin Fringe Festival,Dublin City Council,Festivals and Events,595024
2026,Strategic Funding,Dublin International Film Festival,Dublin City Council,Film,217000
2026,Strategic Funding,Dublin Theatre Festival,Dublin City Council,Theatre,1215000
2026,Strategic Funding,Dublin Youth Dance Company,Dublin City Council,Children and Young People's Arts,125000
2026,Strategic Funding,Earagail Arts Festival,Donegal County Council,Festivals and Events,305000
2026,Strategic Funding,eva International,Limerick City and County Council,Visual Arts,385000
2026,Strategic Funding,Fighting Words,Dublin City Council,Children and Young People's Arts,80000
2026,Strategic Funding,Fire Station Artists’ Studios,Dublin City Council,Visual Arts,520000
2026,Strategic Funding,First Music Contact,Dublin City Council,Music,245000
2026,Strategic Funding,Fishamble Theatre Company,Dublin City Council,Theatre,527000
